site,mean_precip,mean_et,mean_pet,aridity_index,evaporation_ratio
AR-SLu,351.700000707933,355.78430599184,1246.74166252377,3.54490093834012,1.01161303746285
AT-Neu,668.554640273599,459.02935395288,485.563298697901,0.726288128819492,0.686599608021608
AU-ASM,352.428749916726,242.996249628294,1514.12684757076,4.29626370700044,0.689490428024703
AU-Cow,4158.96692497554,1185.67419835382,1094.43710609934,0.263151192553853,0.285088633726222
AU-Cpr,262.800001481082,257.129776557801,1005.68088056916,3.82679176142071,0.978423801783389
AU-Ctr,3395.79963409924,1276.56172273634,1342.07290786695,0.395215575851533,0.375923747066119
AU-Cum,856.100003493339,857.064415114129,1398.42911482747,1.63348803775393,1.0011265174826
AU-DaP,1179.07700311152,796.285773744687,1550.41733643353,1.31494154524434,0.675346709030309
AU-DaS,1297.41314615203,979.807850344034,1766.84218161257,1.3618192376521,0.755201111727614
AU-Dry,853.653334730188,799.617007558902,1696.93538756053,1.98785071002725,0.936699916730993
AU-Emr,688.100001416024,457.650644423621,1467.68144864411,2.13294789365471,0.665093218255825
AU-Gin,586.872161083666,572.458041600697,1484.50560856983,2.52952126035196,0.975439081219405
AU-GWW,312.500001002263,263.867512305035,1283.03585535819,4.10571472397818,0.844376036667994
AU-How,1708.76631513847,1241.28145950845,1823.57954551289,1.067190714937,0.726419668102982
AU-Lit,1692.99999279901,1294.12075060035,1711.21753730007,1.01076051067841,0.764395012465888
AU-Otw,366.300001479249,657.544449712496,879.034183906307,2.39976571213884,1.79509813556402
AU-Rig,543.383334865939,464.2799538507,1020.55558797074,1.87815032682688,0.854424352129321
AU-Rob,13650.9912511749,1069.30983163116,1708.74334987268,0.125173572997904,0.0783320281989871
AU-Sam,1261.51158246608,647.571474181321,1337.9109305146,1.06056174918281,0.51332978878831
AU-Stp,813.200004601094,518.868242705485,1524.74119204574,1.87498915816372,0.638057353381361
AU-TTE,470.533332723426,337.075517346892,1365.06106786925,2.90109323385941,0.716369051679961
AU-Tum,586.533334814158,953.858611220563,1020.98501522941,1.74071097860603,1.62626496160323
AU-Whr,492.400000838097,601.861545324963,1114.29035785986,2.26297797717966,1.22230208022046
AU-Wrr,1513.91286583676,474.975737179965,855.330029188305,0.564979694994239,0.313740472056456
AU-Ync,352.428749916726,242.996249628294,1514.12684757076,4.29626370700044,0.689490428024703
BE-Bra,791.611150055465,336.245623479545,523.208329402345,0.660941081193318,0.424761100770227
BE-Lon,719.435145179411,363.572617659095,533.66072935376,0.74177739707264,0.505358433064079
BE-Vie,1055.91667048739,310.484420349283,666.294236931729,0.63101024498854,0.294042540502718
BR-Sa3,1381.67049527401,1182.02287692037,1245.13132750986,0.901178198252638,0.855502727288064
BW-Ma1,429.474188121389,460.37188499427,1605.97988864734,3.73940956887825,1.07194308232593
CA-Ca1,2278.48350069743,396.094330047958,658.527828384759,0.289020231299979,0.17384121058007
CA-Ca2,2008.47177863354,286.779055223857,574.578671016051,0.28607754270113,0.142784707395275
CA-Cbo,959.240800840721,513.72702953299,815.024188502258,0.849655464809185,0.535555857385067
CA-DB2,1496.20000662835,299.703312651786,723.623186840527,0.483640678809509,0.20030965868471
CA-DBB,1164.99825470587,332.375913940666,804.120232687641,0.690232993431101,0.285301641095232
CA-Gro,817.259800069514,378.621036847901,699.920995502614,0.856424108273869,0.463281121640506
CA-LP1,507.642514124745,225.081384937527,542.593930623184,1.06885045189468,0.443385608326367
CA-MA2,493.065000522728,377.548257356788,621.127731266524,1.25972788700887,0.765717008825463
CA-MA3,493.065000522728,385.704803287967,575.840416729668,1.16787931838436,0.782259545656371
CA-Qcu,910.532036092246,326.527018876626,565.980702253017,0.621593397945723,0.358611235995595
CA-Qfo,929.149836289832,280.580188821294,624.677244956167,0.672310558058701,0.301975179742454
CA-SF1,499.905001956177,428.538002139003,548.815659285196,1.09783990385699,0.857238876310684
CA-SF2,241.248001427448,363.103472979588,524.96110479198,2.176022606139,1.505104584623
CA-SF3,374.389501513616,298.764806509533,506.227675508285,1.35214174933234,0.798005300099655
CA-TP1,877.053601752834,365.977073157458,754.623741512539,0.860407778959447,0.417280166715051
CA-TP3,1121.26755545632,449.231860677374,818.985360013136,0.730410289700955,0.400646445615337
CA-TPD,898.896201968182,357.529074514685,964.362836058081,1.07283002636629,0.397742335246112
CH-Aws,1279.91666854095,595.778127936283,284.172585955524,0.222024287158841,0.465481966584154
CH-Cha,1129.76045819622,684.107166031436,506.81057545593,0.44860003001442,0.605532934940637
CH-Dav,861.068440520525,635.037167348281,629.744212902648,0.731352100794637,0.737499062170244
CH-Fru,1305.62225744106,633.800810686966,318.816724176951,0.244187568310771,0.485439649236049
CN-Cng,332.850000832332,418.17730749062,665.617969705722,1.9997535467666,1.2563536321013
CN-Du2,207.715000876647,263.205477924978,630.988264110104,3.03775972581211,1.26714718154268
CN-HaM,583.336001589839,340.036859614733,634.409001497584,1.08755331364522,0.582917664412941
CZ-BK1,1177.26600539626,476.792533317398,674.655981349826,0.573070128804696,0.404999831076335
CZ-KrP,622.184168998274,398.220991801106,636.055105437552,1.02229393985001,0.640037165269326
CZ-RAJ,670.605000440082,379.59826843106,789.390440230413,1.17713175373339,0.566053441566869
CZ-wet,569.18472935802,440.195833951383,657.309902191455,1.15482701535726,0.773379557192052
DE-Bay,1300.49735220236,287.300106979936,561.834006726308,0.43201472557776,0.220915564720988
DE-Geb,520.805054790444,356.856278008255,484.315547022269,0.929936340992586,0.685201256642647
DE-Gri,826.028690331974,440.151867452201,605.683945870162,0.733248073534519,0.532853002085566
DE-Hai,681.082335409838,321.488281160723,611.367696040573,0.897641392611785,0.47202557524454
DE-HoH,467.083668912619,553.522382963629,705.499750930524,1.51043549129633,1.18506045020208
DE-Hzd,725.270669023473,476.975214241984,577.418681775543,0.796142332011023,0.657651321932263
DE-Kli,740.913638682476,425.154300831207,543.85550874978,0.73403360439806,0.573824368501618
DE-Obe,961.34958642036,383.153360940817,628.297592736817,0.65355787489993,0.39855778413294
DE-RuR,856.493556688497,536.367037763339,556.862322868182,0.650165221348782,0.626235928542325
DE-RuS,538.468626004499,562.784340324019,587.228052349028,1.09055202845583,1.04515716078009
DE-Seh,500.022001725768,538.725277783614,416.345234843134,0.832653830043813,1.0774031461101
DE-SfN,969.672001592153,380.798195933704,861.985631661212,0.888945571539526,0.392708251149309
DE-Tha,814.485568286998,421.762737226446,686.885854367812,0.843337047472124,0.517827145929037
DE-Wet,814.51667477595,312.221251204838,682.569233203621,0.838005229777985,0.38332088325966
DK-Fou,643.314999064012,100.34193891203,534.624922113683,0.831046878887532,0.155976370919413
DK-Lva,877.834262354009,204.851859903441,462.973356075277,0.52740406239529,0.233360519962057
DK-Sor,937.747276832295,430.463728119838,397.452505420181,0.423837546895122,0.459040232645561
ES-Abr,345.369801026218,329.474686304883,991.854093716923,2.87186109141496,0.953976535660891
ES-Agu,260.608000076694,180.979812070766,942.824948476632,3.61778973860806,0.694452250189962
ES-Cnd,640.522667437733,412.361409003152,1047.09682499374,1.63475373819698,0.643788939824271
ES-ES1,867.256038896687,606.398719147129,1232.95444661243,1.42167294468308,0.699215331978066
ES-ES2,816.300000699994,894.699471371846,1037.87366007783,1.27143655419311,1.09604247287103
ES-LgS,401.700001578138,363.283572753243,882.008514227708,2.195689596123,0.904365375469331
ES-LJu,625.773182641428,263.282678644445,862.328436801517,1.37802076011243,0.420731801789767
ES-LM1,612.133335546241,508.878001554888,1126.49605335492,1.84027888686978,0.831318884309392
ES-LM2,576.758335119666,456.904613738071,1099.093486186,1.9056395361117,0.792194210150899
ES-LMa,726.570307062866,458.023102689963,814.156201253317,1.12054703218538,0.630390614972286
ES-VDA,926.232837905741,418.204848128542,449.368632433396,0.485157310390162,0.451511575722282
FI-Hyy,665.353437930115,335.449022955486,373.604358886589,0.561512630112585,0.504166663659322
FI-Let,588.272452411931,376.207339938795,373.829085611466,0.635469303515332,0.639512080493206
FI-Lom,607.003501718418,236.711925038144,203.345613723984,0.334999078503361,0.389967972784368
FI-Sod,529.040002051306,288.252224091284,277.088726807933,0.523757609506928,0.544859033293533
